="{Willingness to pay $ per bottle}"
="",="MU",="",="WTP",=""
="bulk",="-0.40***",="(0.044)",="-2.41***",="(0.27)"
="Specialty",="-0.35***",="(0.048)",="-2.15***",="(0.29)"
="White",="-0.28***",="(0.051)",="-1.68***",="(0.31)"
="Cabernet_Sauvignon",="0.28***",="(0.064)",="1.71***",="(0.39)"
="Cabernet_Blend",="0.080",="(0.096)",="0.48",="(0.58)"
="Carmenere",="0.14*",="(0.078)",="0.83*",="(0.47)"
="Concord",="-0.51***",="(0.14)",="-3.09***",="(0.83)"
="Malbec",="0.067",="(0.090)",="0.41",="(0.54)"
="Moscato_Red",="0.0066",="(0.13)",="0.040",="(0.79)"
="Petite_Syrah",="0.28",="(0.18)",="1.71",="(1.10)"
="Pinot_Noir",="0.19***",="(0.063)",="1.17***",="(0.38)"
="Syrah",="-0.0045",="(0.056)",="-0.027",="(0.34)"
="Syrah_Blend",="0.19",="(0.26)",="1.15",="(1.60)"
="Zinfandel",="0.17",="(0.11)",="1.01",="(0.68)"
="Other_Red",="0.26***",="(0.069)",="1.57***",="(0.42)"
="Other_Red_Imported",="-0.025",="(0.060)",="-0.15",="(0.36)"
="Chardonnay",="0.14***",="(0.052)",="0.83***",="(0.32)"
="Chenin_Blanc",="-0.086",="(0.12)",="-0.52",="(0.75)"
="Gewurztraminer",="-0.060",="(0.088)",="-0.37",="(0.54)"
="Liebfraumilch",="-0.45**",="(0.18)",="-2.71**",="(1.08)"
="Moscato_White",="0.15***",="(0.056)",="0.93***",="(0.34)"
="Pinot_Grigio",="0.095*",="(0.053)",="0.58*",="(0.32)"
="Riesling",="0.038",="(0.062)",="0.23",="(0.38)"
="Viognier",="0.49***",="(0.14)",="3.00***",="(0.87)"
="Other_White",="0.016",="(0.062)",="0.097",="(0.38)"
="Other_White_Imported",="0.12**",="(0.058)",="0.72**",="(0.35)"
="Dessert",="0.41***",="(0.16)",="2.51***",="(0.96)"
="Flavoured",="0.063",="(0.094)",="0.38",="(0.57)"
="Sangria",="-0.020",="(0.058)",="-0.12",="(0.35)"
="Sparkling",="0.79***",="(0.15)",="4.77***",="(0.91)"
="Vermouth",="-0.32**",="(0.16)",="-1.96**",="(0.96)"
="Other_Specialty",="0.18",="(0.13)",="1.12",="(0.80)"
="Other_Specialty_Imported",="0.28***",="(0.093)",="1.69***",="(0.56)"
="Alexander_Valley",="1.15***",="(0.20)",="6.96***",="(1.19)"
="Amador_County",="0.019",="(0.14)",="0.12",="(0.84)"
="Anderson_Valley",="1.62***",="(0.20)",="9.83***",="(1.22)"
="Arroyo_Seco",="0.73***",="(0.22)",="4.41***",="(1.35)"
="Augusta",="-0.34***",="(0.11)",="-2.08***",="(0.70)"
="Carneros",="1.53***",="(0.24)",="9.27***",="(1.44)"
="Central_Coast",="0.027",="(0.058)",="0.16",="(0.35)"
="Chalk_Hill",="2.54**",="(1.28)",="15.4**",="(7.77)"
="Chalone",="1.03**",="(0.40)",="6.28**",="(2.45)"
="Clarksburg",="0.17",="(0.14)",="1.03",="(0.88)"
="Columbia_Valley",="0.065",="(0.070)",="0.39",="(0.42)"
="Contra_Costa_County",="-0.14",="(0.27)",="-0.87",="(1.62)"
="Dry_Creek_Valley",="1.08***",="(0.25)",="6.56***",="(1.49)"
="Dunnigan_Hills",="-0.072",="(0.18)",="-0.44",="(1.09)"
="Eagle_Peak",="-0.32*",="(0.17)",="-1.91*",="(1.06)"
="Edna_Valley",="1.07***",="(0.41)",="6.52***",="(2.50)"
="Eola_Hills",="0.31",="(0.26)",="1.87",="(1.56)"
="Finger_Lakes",="0.37**",="(0.18)",="2.25**",="(1.07)"
="Guenoc",="-0.47***",="(0.10)",="-2.83***",="(0.63)"
="Horse_Heaven_Hills",="0.33*",="(0.18)",="2.02*",="(1.12)"
="Knights_Valley",="2.03**",="(0.83)",="12.3**",="(5.02)"
="Lake_County",="0.12",="(0.13)",="0.74",="(0.80)"
="Lake_Erie",="-0.15",="(0.13)",="-0.92",="(0.81)"
="Livermore_Valley",="1.19***",="(0.46)",="7.25***",="(2.81)"
="Lodi",="-0.095",="(0.080)",="-0.58",="(0.48)"
="Mendocino",="0.14",="(0.092)",="0.83",="(0.56)"
="Mendocino_County",="-0.0086",="(0.19)",="-0.052",="(1.16)"
="Monterey_County",="0.11*",="(0.061)",="0.66*",="(0.37)"
="Napa_County",="0.49***",="(0.18)",="2.95***",="(1.07)"
="Napa_Valley",="1.02***",="(0.18)",="6.18***",="(1.07)"
="North_Coast",="0.11",="(0.076)",="0.65",="(0.46)"
="Oakville",="2.80***",="(0.74)",="17.0***",="(4.51)"
="Old_Mission_Peninsula",="0.33**",="(0.14)",="2.01**",="(0.85)"
="Ohio_River_Valley",="0.068",="(0.22)",="0.41",="(1.36)"
="Paso_Robles",="0.26**",="(0.11)",="1.59**",="(0.65)"
="Red_Hills_Lake_County",="0.29**",="(0.14)",="1.75**",="(0.84)"
="Russian_River_Valley",="1.08***",="(0.17)",="6.55***",="(1.03)"
="Rutherford",="1.03**",="(0.44)",="6.27**",="(2.67)"
="Saint_Lucia_Highlands",="0.86***",="(0.23)",="5.20***",="(1.42)"
="San_Antonio",="-0.24",="(0.17)",="-1.43",="(1.06)"
="Santa_Barbara_County",="0.40***",="(0.15)",="2.43***",="(0.91)"
="Santa_Maria_Valley",="1.49***",="(0.35)",="9.03***",="(2.15)"
="Sierra_Foothills",="0.42**",="(0.17)",="2.56**",="(1.05)"
="Snake_River_Valley",="-0.33**",="(0.14)",="-2.02**",="(0.85)"
="Sonoma_County",="0.46***",="(0.11)",="2.78***",="(0.65)"
="Sonoma_Coast",="0.89***",="(0.25)",="5.42***",="(1.51)"
="Sonoma_Mountain",="0.37*",="(0.20)",="2.26*",="(1.20)"
="Sonoma_Valley",="1.98***",="(0.34)",="12.0***",="(2.05)"
="St_Helena",="0.52***",="(0.16)",="3.15***",="(0.97)"
="Texas_High_Plains",="0.094",="(0.15)",="0.57",="(0.91)"
="Wahluke_Slope",="0.43*",="(0.23)",="2.60*",="(1.40)"
="Walla_Walla",="0.71*",="(0.41)",="4.29*",="(2.48)"
="Willamette_Valley",="0.79***",="(0.12)",="4.82***",="(0.76)"
="Yakima_Valley",="0.35***",="(0.10)",="2.11***",="(0.61)"
="Other_AVAs",="0.85***",="(0.23)",="5.18***",="(1.40)"
="Florida",="0.11",="(0.12)",="0.69",="(0.73)"
="Indiana",="0.17",="(0.16)",="1.04",="(0.99)"
="Michigan",="0.074",="(0.15)",="0.45",="(0.91)"
="Missouri",="0.16",="(0.14)",="0.99",="(0.87)"
="Nebraska",="0.47*",="(0.28)",="2.83*",="(1.69)"
="New_York",="-0.31***",="(0.084)",="-1.87***",="(0.51)"
="North_Carolina",="-0.016",="(0.10)",="-0.097",="(0.63)"
="Ohio",="-0.15",="(0.12)",="-0.89",="(0.72)"
="Oregon",="0.17",="(0.11)",="1.02",="(0.70)"
="Texas",="-0.14",="(0.12)",="-0.85",="(0.73)"
="Washington",="0.020",="(0.096)",="0.12",="(0.58)"
="Other_States",="-0.032",="(0.091)",="-0.19",="(0.55)"
="Argentina",="-0.046",="(0.067)",="-0.28",="(0.41)"
="Australia",="-0.14**",="(0.058)",="-0.85**",="(0.35)"
="Chile",="-0.24***",="(0.050)",="-1.43***",="(0.30)"
="France",="0.57*",="(0.30)",="3.49*",="(1.81)"
="Germany",="0.14",="(0.095)",="0.84",="(0.58)"
="Italy",="0.26***",="(0.087)",="1.59***",="(0.53)"
="New_Zealand",="0.0057",="(0.21)",="0.035",="(1.28)"
="Portugal",="0.028",="(0.15)",="0.17",="(0.94)"
="South_Africa",="-0.25***",="(0.091)",="-1.50***",="(0.55)"
="Spain",="-0.029",="(0.098)",="-0.18",="(0.59)"
="Other_Countries",="-0.0046",="(0.094)",="-0.028",="(0.57)"
="Constant",="0.043",="(0.041)",="0.26",="(0.25)"
="brand_name",="Yes",="",="Yes",=""
="Observations",="2930",="",="2930",=""
="r2",="0.61",="",="0.61",=""
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
