Importing_country,size_category,size_quantity_share
France,bottle,4.44345737989101
Chile,bottle,4.55958732253661
Argentina,bottle,4.5360284275764
Spain,bottle,4.40284772987935
Italy,bottle,13.9760807905391
New Zealand,bottle,2.63060867530771
Other_Countries,bottle,3.03601073505472
Australia,bottle,11.7090692549831
Germany,bottle,2.31217834479894
Portugal,bottle,1.69926948065787
South Africa,bottle,0.9282095515853
Argentina,bulk,4.35518378925998
New Zealand,bulk,0.348970530117882
Italy,bulk,8.76810060599923
France,bulk,0.507324702587128
Germany,bulk,0.740448387575279
Other_Countries,bulk,3.48117345629445
Australia,bulk,17.8415425101475
Chile,bulk,6.58123801787863
Spain,bulk,2.34020311440371
Portugal,bulk,0.743660574606511
South Africa,bulk,0.0588066183193839
