Importing_country,Varietal,country_percent
Argentina,Blush_Rose,0.72
Australia,Blush_Rose,0.09
Australia,Flavoured,0.01
Chile,Blush_Rose,0.13
Domestic,Blush_Rose,66.89
Domestic,Sangria,12.54
Domestic,Flavoured,7.47
Domestic,Sparkling,2.34
Domestic,Dessert,2.03
Domestic,Vermouth,0.79
Domestic,Other_Specialty,0.37
France,Other_Specialty_Imported,0.11
Germany,Other_Specialty_Imported,0.12
Italy,Other_Specialty_Imported,0.39
New Zealand,Flavoured,0
Other_Countries,Other_Specialty_Imported,4.82
Portugal,Dessert,0.97
Portugal,Blush_Rose,0.07
Portugal,Sangria,0.03
South Africa,Other_Specialty_Imported,0.02
Spain,Other_Specialty_Imported,0.09
