geographic_label,appelation_share
Columbia_Valley,3.21
Central_Coast,2.43
Napa_Valley,1.73
Sonoma County,1.66
Monterey_County,1.29
North_Coast,1
Lodi,0.97
St_Helena,0.7
Paso_Robles,0.45
Edna_Valley,0.32
Sonoma_Coast,0.3
Santa_Barbara_County,0.28
Russian_River_Valley,0.26
Mendocino,0.25
Alexander_Valley,0.21
Carneros,0.21
Willamette_Valley,0.21
Napa_County,0.2
Horse_Heaven_Hills,0.17
Other_AVAs,0.16
Lake_County,0.11
Livermore_Valley,0.1
Dry_Creek_Valley,0.1
Guenoc,0.07
Santa_Maria_Valley,0.06
Texas_High_Plains,0.06
Finger_Lakes,0.05
Amador_County,0.05
Arroyo_Seco,0.05
Rutherford,0.05
Anderson_Valley,0.04
Walla_Walla,0.04
Sonoma_Valley,0.04
Mendocino County,0.04
Yakima_Valley,0.03
Eagle_Peak,0.03
Clarksburg,0.03
Wahluke_Slope,0.03
Knights_Valley,0.03
San_Antonio,0.03
Snake_River_Valley,0.03
Eola_Hills,0.02
Ohio_River_Valley,0.02
Sonoma_Mountain,0.02
Contra_Costa_County,0.02
Saint_Lucia_Highlands,0.02
Dunnigan_Hills,0.02
Chalone,0.02
Augusta,0.02
Old_Mission_Peninsula,0.01
Red_Hills_Lake_County,0.01
Sierra_Foothills,0.01
Oakville,0.01
Chalk_Hill,0.01
Lake_Erie,0.01
